,Year,Month,Tmax,Tmin,AF,Rain,Sun,status,Date,Tmean
7,1930,12,7.4,2.0,7.0,83.8,30.5,,1930-12-01,9.4
8,1931,1,6.7,0.6,14.0,35.2,75.6,,1931-01-01,7.3
9,1931,2,7.3,1.3,8.0,43.5,76.6,,1931-02-01,8.6
10,1931,3,8.6,-0.5,17.0,9.5,134.6,,1931-03-01,8.1
11,1931,4,11.2,4.7,0.0,68.9,97.0,,1931-04-01,15.899999999999999
12,1931,5,15.5,7.0,0.0,80.9,152.4,,1931-05-01,22.5
13,1931,6,19.0,10.8,0.0,80.9,180.8,,1931-06-01,29.8
14,1931,7,19.0,11.7,0.0,108.0,130.7,,1931-07-01,30.7
15,1931,8,18.7,10.6,0.0,124.6,147.2,,1931-08-01,29.299999999999997
16,1931,9,15.9,7.8,0.0,44.7,94.8,,1931-09-01,23.7
17,1931,10,13.4,3.9,9.0,14.2,109.5,,1931-10-01,17.3
18,1931,11,11.1,5.2,0.0,134.6,63.5,,1931-11-01,16.3
19,1931,12,8.0,3.2,7.0,33.0,46.1,,1931-12-01,11.2
20,1932,1,9.3,3.6,6.0,100.9,48.0,,1932-01-01,12.9
21,1932,2,5.7,0.3,17.0,2.1,58.6,,1932-02-01,6.0
22,1932,3,9.2,0.1,14.0,43.9,141.2,,1932-03-01,9.299999999999999
23,1932,4,10.3,3.4,1.0,66.8,107.1,,1932-04-01,13.700000000000001
24,1932,5,14.2,6.9,1.0,133.7,103.8,,1932-05-01,21.1
25,1932,6,19.5,9.1,0.0,40.0,227.4,,1932-06-01,28.6
26,1932,7,20.1,12.4,0.0,54.0,134.5,,1932-07-01,32.5
27,1932,8,22.2,13.0,0.0,48.7,173.6,,1932-08-01,35.2
28,1932,9,17.6,8.8,0.0,86.0,127.6,,1932-09-01,26.400000000000002
29,1932,10,12.9,4.2,4.0,134.6,108.3,,1932-10-01,17.1
30,1932,11,9.4,3.7,4.0,34.9,49.5,,1932-11-01,13.100000000000001
31,1932,12,8.2,3.5,4.0,41.3,55.9,,1932-12-01,11.7
32,1933,1,5.6,-1.0,19.0,57.6,91.5,,1933-01-01,4.6
33,1933,2,7.7,0.4,16.0,89.9,95.3,,1933-02-01,8.1
34,1933,3,12.6,2.3,11.0,62.4,178.2,,1933-03-01,14.899999999999999
35,1933,4,13.9,3.5,3.0,26.9,163.7,,1933-04-01,17.4
36,1933,5,17.2,7.5,0.0,47.6,159.8,,1933-05-01,24.7
37,1933,6,20.8,10.0,0.0,50.2,196.9,,1933-06-01,30.8
38,1933,7,23.0,12.6,0.0,43.5,229.1,,1933-07-01,35.6
39,1933,8,23.4,11.9,0.0,14.0,244.3,,1933-08-01,35.3
40,1933,9,20.0,9.7,0.0,71.5,162.6,,1933-09-01,29.7
41,1933,10,13.4,5.9,2.0,92.5,85.9,,1933-10-01,19.3
42,1933,11,8.4,2.6,8.0,14.2,70.7,,1933-11-01,11.0
43,1933,12,3.3,-1.2,19.0,17.4,44.8,,1933-12-01,2.0999999999999996
44,1934,1,7.9,1.0,13.0,70.0,55.6,,1934-01-01,8.9
45,1934,2,7.9,-0.8,19.0,9.6,118.5,,1934-02-01,7.1000000000000005
46,1934,3,9.3,1.0,9.0,54.8,112.3,,1934-03-01,10.3
47,1934,4,12.1,4.2,3.0,47.4,118.9,,1934-04-01,16.3
48,1934,5,17.1,6.7,0.0,32.7,211.2,,1934-05-01,23.8
49,1934,6,20.7,10.4,0.0,21.6,198.3,,1934-06-01,31.1
50,1934,7,24.8,12.6,0.0,17.0,270.6,,1934-07-01,37.4
51,1934,8,20.4,10.4,0.0,45.4,180.6,,1934-08-01,30.799999999999997
52,1934,9,19.2,9.3,0.0,45.0,140.9,,1934-09-01,28.5
53,1934,10,13.8,6.9,1.0,28.3,84.3,,1934-10-01,20.700000000000003
54,1934,11,9.0,3.5,5.0,49.2,26.1,,1934-11-01,12.5
55,1934,12,10.5,6.0,0.0,147.6,37.9,,1934-12-01,16.5
56,1935,1,7.5,2.9,6.0,17.1,52.7,,1935-01-01,10.4
57,1935,2,9.7,3.2,6.0,48.6,56.5,,1935-02-01,12.899999999999999
58,1935,3,10.9,2.4,6.0,11.4,132.6,,1935-03-01,13.3
59,1935,4,12.5,4.5,0.0,102.4,142.3,,1935-04-01,17.0
60,1935,5,15.1,5.2,1.0,22.9,192.7,,1935-05-01,20.3
61,1935,6,19.5,11.0,0.0,80.5,180.6,,1935-06-01,30.5
62,1935,7,23.0,12.5,0.0,6.3,256.6,,1935-07-01,35.5
63,1935,8,22.4,11.0,0.0,32.0,193.6,,1935-08-01,33.4
64,1935,9,18.0,9.6,0.0,95.8,149.0,,1935-09-01,27.6
65,1935,10,13.5,5.5,5.0,90.9,93.1,,1935-10-01,19.0
66,1935,11,9.9,3.7,5.0,140.9,59.0,,1935-11-01,13.600000000000001
67,1935,12,6.1,1.3,7.0,88.0,63.4,,1935-12-01,7.3999999999999995
68,1936,1,6.8,1.0,12.0,112.3,35.1,,1936-01-01,7.8
69,1936,2,5.9,-1.3,18.0,60.6,90.4,,1936-02-01,4.6000000000000005
70,1936,3,10.7,3.5,4.0,65.4,70.0,,1936-03-01,14.2
71,1936,4,10.2,2.7,2.0,55.5,145.0,,1936-04-01,12.899999999999999
72,1936,5,16.6,6.8,0.0,21.4,167.9,,1936-05-01,23.400000000000002
73,1936,6,19.3,9.9,0.0,99.9,153.5,,1936-06-01,29.200000000000003
74,1936,7,18.5,11.6,0.0,148.8,125.2,,1936-07-01,30.1
75,1936,8,21.3,11.2,0.0,4.3,185.4,,1936-08-01,32.5
76,1936,9,18.3,10.1,0.0,71.0,91.0,,1936-09-01,28.4
77,1936,10,13.3,4.9,2.0,39.0,106.4,,1936-10-01,18.200000000000003
78,1936,11,8.9,2.5,7.0,62.4,42.0,,1936-11-01,11.4
79,1936,12,8.7,3.2,4.0,101.2,53.3,,1936-12-01,11.899999999999999
80,1937,1,8.4,2.9,7.0,102.3,40.3,,1937-01-01,11.3
81,1937,2,8.9,3.6,3.0,89.1,58.4,,1937-02-01,12.5
82,1937,3,7.1,0.2,16.0,104.5,101.4,,1937-03-01,7.3
83,1937,4,13.1,5.7,0.0,47.5,102.3,,1937-04-01,18.8
84,1937,5,16.6,7.3,0.0,60.5,199.2,,1937-05-01,23.900000000000002
85,1937,6,19.0,9.3,0.0,26.9,184.0,,1937-06-01,28.3
86,1937,7,20.2,12.0,0.0,86.5,126.1,,1937-07-01,32.2
87,1937,8,22.3,10.8,0.0,22.2,202.4,,1937-08-01,33.1
88,1937,9,18.1,8.6,0.0,58.6,152.6,,1937-09-01,26.700000000000003
89,1937,10,13.8,6.3,0.0,87.5,82.8,,1937-10-01,20.1
90,1937,11,7.7,1.2,8.0,30.2,52.6,,1937-11-01,8.9
91,1937,12,5.8,0.4,12.0,54.7,48.1,,1937-12-01,6.2
92,1938,1,9.1,3.7,0.0,66.9,45.1,,1938-01-01,12.8
93,1938,2,8.1,2.3,3.0,17.6,54.1,,1938-02-01,10.399999999999999
94,1938,3,14.4,3.3,11.0,0.5,163.1,,1938-03-01,17.7
95,1938,4,13.4,1.9,7.0,1.5,217.6,,1938-04-01,15.3
96,1938,5,15.4,6.5,0.0,47.8,143.2,,1938-05-01,21.9
97,1938,6,19.1,10.4,0.0,26.7,197.4,,1938-06-01,29.5
98,1938,7,19.7,10.9,0.0,57.9,150.5,,1938-07-01,30.6
99,1938,8,20.0,11.5,0.0,71.4,128.5,,1938-08-01,31.5
100,1938,9,18.2,8.2,0.0,29.3,104.9,,1938-09-01,26.4
101,1938,10,14.2,7.1,0.0,70.6,101.2,,1938-10-01,21.299999999999997
102,1938,11,12.4,6.5,0.0,81.5,73.6,,1938-11-01,18.9
103,1938,12,7.4,1.9,11.0,97.3,62.1,,1938-12-01,9.3
104,1939,1,7.3,2.1,6.0,143.9,43.4,,1939-01-01,9.4
105,1939,2,9.1,2.4,6.0,35.3,87.2,,1939-02-01,11.5
106,1939,3,9.4,3.0,3.0,31.3,80.0,,1939-03-01,12.4
107,1939,4,13.4,3.9,0.0,64.4,176.9,,1939-04-01,17.3
108,1939,5,16.4,6.5,0.0,17.9,194.2,,1939-05-01,22.9
109,1939,6,19.7,9.5,0.0,40.8,217.5,,1939-06-01,29.2
110,1939,7,18.8,11.2,0.0,100.3,124.1,,1939-07-01,30.0
111,1939,8,21.1,11.7,0.0,49.7,170.8,,1939-08-01,32.8
112,1939,9,18.5,9.3,0.0,14.4,140.9,,1939-09-01,27.8
113,1939,10,12.1,3.3,3.0,59.8,108.1,,1939-10-01,15.399999999999999
114,1939,11,12.2,6.1,2.0,107.3,44.4,,1939-11-01,18.299999999999997
115,1939,12,5.8,0.4,12.0,36.5,48.8,,1939-12-01,6.2
116,1940,1,1.9,-5.3,25.0,71.2,87.1,,1940-01-01,-3.4
117,1940,2,5.8,-0.2,15.0,55.8,17.9,,1940-02-01,5.6
118,1940,3,10.9,1.8,10.0,40.6,121.6,,1940-03-01,12.700000000000001
119,1940,4,13.7,4.4,5.0,99.3,126.7,,1940-04-01,18.1
120,1940,5,17.9,7.2,0.0,55.7,198.8,,1940-05-01,25.099999999999998
121,1940,6,22.3,10.8,0.0,16.1,280.4,,1940-06-01,33.1
122,1940,7,19.7,10.5,0.0,72.8,166.8,,1940-07-01,30.2
123,1940,8,21.1,10.3,0.0,6.6,207.1,,1940-08-01,31.400000000000002
124,1940,9,18.6,7.3,0.0,18.0,183.6,,1940-09-01,25.900000000000002
125,1940,10,13.2,5.8,2.0,107.0,65.4,,1940-10-01,19.0
126,1940,11,10.2,4.2,1.0,158.2,70.5,,1940-11-01,14.399999999999999
127,1940,12,7.0,1.1,11.0,33.5,47.7,,1940-12-01,8.1
128,1941,1,2.8,-1.5,19.0,106.7,40.3,,1941-01-01,1.2999999999999998
129,1941,2,7.0,0.9,13.0,81.0,84.0,,1941-02-01,7.9
130,1941,3,9.2,1.3,12.0,55.0,95.3,,1941-03-01,10.5
131,1941,4,10.9,3.1,1.0,25.6,108.3,,1941-04-01,14.0
132,1941,5,13.9,4.7,4.0,46.6,137.8,,1941-05-01,18.6
133,1941,6,20.3,10.5,0.0,57.3,201.1,,1941-06-01,30.8
134,1941,7,22.3,12.1,0.0,57.7,209.5,,1941-07-01,34.4
135,1941,8,19.1,10.7,0.0,84.2,178.6,,1941-08-01,29.8
136,1941,9,18.7,9.8,0.0,31.6,108.2,,1941-09-01,28.5
137,1941,10,14.3,6.0,1.0,48.0,103.4,,1941-10-01,20.3
138,1941,11,10.0,4.2,3.0,69.0,46.5,,1941-11-01,14.2
139,1941,12,8.6,3.1,5.0,45.2,45.0,,1941-12-01,11.7
140,1942,1,4.3,-1.4,19.0,61.3,51.4,,1942-01-01,2.9
141,1942,2,3.9,-2.8,24.0,11.4,52.8,,1942-02-01,1.1
142,1942,3,9.3,1.9,7.0,64.5,66.6,,1942-03-01,11.200000000000001
143,1942,4,14.1,5.2,0.0,42.7,196.9,,1942-04-01,19.3
144,1942,5,16.2,6.4,0.0,92.5,201.7,,1942-05-01,22.6
145,1942,6,20.4,9.2,0.0,3.1,236.6,,1942-06-01,29.599999999999998
146,1942,7,20.3,11.2,0.0,26.6,168.7,,1942-07-01,31.5
147,1942,8,20.3,12.1,0.0,104.3,129.7,,1942-08-01,32.4
148,1942,9,18.1,9.0,0.0,34.7,131.0,,1942-09-01,27.1
149,1942,10,14.5,6.5,2.0,38.6,93.4,,1942-10-01,21.0
150,1942,11,8.2,1.2,9.0,26.3,63.2,,1942-11-01,9.399999999999999
151,1942,12,9.8,5.2,0.0,102.3,36.2,,1942-12-01,15.0
152,1943,1,8.4,3.2,7.0,161.3,45.5,,1943-01-01,11.600000000000001
153,1943,2,9.8,3.4,2.0,51.2,94.4,,1943-02-01,13.200000000000001
154,1943,3,11.4,1.7,11.0,27.4,149.6,,1943-03-01,13.1
155,1943,4,15.5,6.1,0.0,16.1,161.1,,1943-04-01,21.6
156,1943,5,17.1,7.1,0.0,85.6,234.9,,1943-05-01,24.200000000000003
157,1943,6,18.7,10.2,0.0,29.6,171.7,,1943-06-01,28.9
158,1943,7,22.0,11.4,0.0,33.3,189.4,,1943-07-01,33.4
159,1943,8,20.2,11.8,0.0,52.9,147.8,,1943-08-01,32.0
160,1943,9,17.8,7.7,0.0,55.1,134.4,,1943-09-01,25.5
161,1943,10,15.2,5.8,3.0,49.5,110.0,,1943-10-01,21.0
162,1943,11,9.9,3.6,5.0,42.4,75.4,,1943-11-01,13.5
163,1943,12,6.5,1.0,11.0,41.4,43.2,,1943-12-01,7.5
164,1944,1,9.6,3.4,7.0,53.5,45.0,,1944-01-01,13.0
165,1944,2,6.5,1.0,9.0,13.1,68.7,,1944-02-01,7.5
166,1944,3,10.3,0.5,13.0,5.5,146.7,,1944-03-01,10.8
167,1944,4,15.3,5.4,1.0,30.4,156.2,,1944-04-01,20.700000000000003
168,1944,5,17.5,5.9,2.0,18.6,218.0,,1944-05-01,23.4
169,1944,6,18.2,9.5,0.0,42.3,148.0,,1944-06-01,27.7
170,1944,7,20.5,12.8,0.0,39.6,94.7,,1944-07-01,33.3
171,1944,8,22.1,11.8,0.0,56.2,182.1,,1944-08-01,33.900000000000006
172,1944,9,17.2,7.0,0.0,63.3,143.9,,1944-09-01,24.2
173,1944,10,12.7,6.0,0.0,86.1,77.5,,1944-10-01,18.7
174,1944,11,9.9,3.8,2.0,102.6,35.9,,1944-11-01,13.7
175,1944,12,6.6,1.2,10.0,52.5,53.7,,1944-12-01,7.8
176,1945,1,3.8,-2.0,21.0,38.6,65.5,,1945-01-01,1.7999999999999998
177,1945,2,11.1,4.5,2.0,45.5,76.8,,1945-02-01,15.6
178,1945,3,12.8,3.0,6.0,19.9,147.2,,1945-03-01,15.8
179,1945,4,15.7,5.5,2.0,30.5,203.3,,1945-04-01,21.2
180,1945,5,17.4,7.9,2.0,48.1,157.6,,1945-05-01,25.299999999999997
181,1945,6,19.2,10.5,0.0,64.7,174.7,,1945-06-01,29.7
182,1945,7,20.8,12.4,0.0,70.0,146.9,,1945-07-01,33.2
183,1945,8,20.4,11.7,0.0,59.5,147.9,,1945-08-01,32.099999999999994
184,1945,9,17.7,10.9,0.0,46.7,68.9,,1945-09-01,28.6
185,1945,10,15.3,8.0,0.0,85.7,84.5,,1945-10-01,23.3
186,1945,11,9.7,4.4,5.0,10.6,24.6,,1945-11-01,14.1
187,1945,12,8.2,3.3,5.0,142.2,37.3,,1945-12-01,11.5
188,1946,1,6.2,-0.1,17.0,70.2,49.5,,1946-01-01,6.1000000000000005
189,1946,2,9.4,4.4,3.0,44.2,72.6,,1946-02-01,13.8
190,1946,3,9.7,1.5,11.0,26.1,110.5,,1946-03-01,11.2
191,1946,4,15.5,5.2,0.0,58.3,193.8,,1946-04-01,20.7
192,1946,5,15.0,6.3,0.0,94.4,165.0,,1946-05-01,21.3
193,1946,6,17.0,9.0,0.0,38.3,137.4,,1946-06-01,26.0
194,1946,7,20.9,12.2,0.0,22.6,184.6,,1946-07-01,33.099999999999994
195,1946,8,18.3,10.8,0.0,116.5,117.7,,1946-08-01,29.1
196,1946,9,17.7,11.0,0.0,106.6,102.4,,1946-09-01,28.7
197,1946,10,12.9,6.8,2.0,19.6,65.0,,1946-10-01,19.7
198,1946,11,11.2,6.2,0.0,123.3,39.9,,1946-11-01,17.4
199,1946,12,6.7,0.0,16.0,65.0,69.1,,1946-12-01,6.7
200,1947,1,5.3,-0.3,18.0,50.1,47.6,,1947-01-01,5.0
201,1947,2,0.2,-4.3,26.0,46.0,27.2,,1947-02-01,-4.1
202,1947,3,7.4,0.8,14.0,176.6,78.4,,1947-03-01,8.200000000000001
203,1947,4,12.6,5.4,0.0,78.2,136.1,,1947-04-01,18.0
204,1947,5,17.9,8.9,0.0,89.3,138.0,,1947-05-01,26.799999999999997
205,1947,6,20.1,11.4,0.0,41.0,174.9,,1947-06-01,31.5
206,1947,7,21.1,12.7,0.0,56.3,173.6,,1947-07-01,33.8
207,1947,8,24.5,12.4,0.0,33.7,274.7,,1947-08-01,36.9
208,1947,9,19.3,10.6,0.0,30.7,136.4,,1947-09-01,29.9
209,1947,10,14.8,5.6,2.0,10.3,97.1,,1947-10-01,20.4
210,1947,11,10.9,4.9,5.0,49.8,74.1,,1947-11-01,15.8
211,1947,12,8.3,3.3,4.0,47.9,35.9,,1947-12-01,11.600000000000001
212,1948,1,9.0,3.5,3.0,111.1,43.9,,1948-01-01,12.5
213,1948,2,7.6,2.4,11.0,22.3,86.5,,1948-02-01,10.0
214,1948,3,13.7,3.4,4.0,35.2,166.9,,1948-03-01,17.099999999999998
215,1948,4,14.0,3.9,2.0,65.2,193.7,,1948-04-01,17.9
216,1948,5,17.2,5.8,0.0,93.0,273.2,,1948-05-01,23.0
217,1948,6,18.0,10.4,0.0,43.0,163.1,,1948-06-01,28.4
218,1948,7,20.5,11.8,0.0,17.9,188.0,,1948-07-01,32.3
219,1948,8,18.9,11.9,0.0,87.3,125.9,,1948-08-01,30.799999999999997
220,1948,9,18.3,10.7,0.0,63.8,146.6,,1948-09-01,29.0
221,1948,10,14.1,6.6,2.0,79.8,100.6,,1948-10-01,20.7
222,1948,11,11.1,4.8,3.0,46.5,59.7,,1948-11-01,15.899999999999999
223,1948,12,9.0,2.9,7.0,118.0,78.1,,1948-12-01,11.9
224,1949,1,9.0,3.4,4.0,24.6,52.5,,1949-01-01,12.4
225,1949,2,10.0,1.8,8.0,28.4,114.4,,1949-02-01,11.8
226,1949,3,9.5,2.0,9.0,27.0,130.2,,1949-03-01,11.5
227,1949,4,14.5,6.3,1.0,65.1,167.4,,1949-04-01,20.8
228,1949,5,16.3,6.6,1.0,60.1,224.7,,1949-05-01,22.9
229,1949,6,21.2,10.2,0.0,8.5,259.8,,1949-06-01,31.4
230,1949,7,23.7,12.5,0.0,10.0,246.9,,1949-07-01,36.2
231,1949,8,22.4,12.1,0.0,20.6,196.7,,1949-08-01,34.5
232,1949,9,20.7,12.1,0.0,64.3,137.2,,1949-09-01,32.8
233,1949,10,15.7,8.6,1.0,155.9,100.0,,1949-10-01,24.299999999999997
234,1949,11,9.8,3.9,5.0,78.2,59.0,,1949-11-01,13.700000000000001
235,1949,12,9.1,3.5,5.0,35.3,62.8,,1949-12-01,12.6
236,1950,1,7.0,1.9,11.0,7.7,41.6,,1950-01-01,8.9
237,1950,2,9.3,2.6,4.0,138.6,61.8,,1950-02-01,11.9
238,1950,3,11.8,3.6,2.0,40.0,118.8,,1950-03-01,15.4
239,1950,4,12.2,4.4,2.0,46.9,164.0,,1950-04-01,16.6
240,1950,5,15.8,7.3,0.0,40.1,178.1,,1950-05-01,23.1
241,1950,6,21.1,11.7,0.0,39.0,244.6,,1950-06-01,32.8
242,1950,7,19.8,12.0,0.0,68.7,167.4,,1950-07-01,31.8
243,1950,8,19.4,11.7,0.0,90.8,169.4,,1950-08-01,31.099999999999998
244,1950,9,16.8,9.9,0.0,67.2,114.4,,1950-09-01,26.700000000000003
245,1950,10,13.5,6.6,5.0,20.4,95.7,,1950-10-01,20.1
246,1950,11,8.7,2.9,5.0,125.2,51.9,,1950-11-01,11.6
247,1950,12,4.1,-0.7,21.0,37.2,66.7,,1950-12-01,3.3999999999999995
248,1951,1,7.0,2.0,9.0,66.4,46.0,,1951-01-01,9.0
249,1951,2,6.9,1.5,4.0,108.0,57.5,,1951-02-01,8.4
250,1951,3,7.6,1.3,7.0,93.8,77.4,,1951-03-01,8.9
251,1951,4,11.5,3.5,1.0,55.0,196.2,,1951-04-01,15.0
252,1951,5,14.1,6.3,0.0,80.9,148.1,,1951-05-01,20.4
253,1951,6,18.9,9.6,0.0,18.8,225.2,,1951-06-01,28.5
254,1951,7,21.6,11.5,0.0,18.0,192.7,,1951-07-01,33.1
255,1951,8,18.9,11.2,0.0,84.3,145.3,,1951-08-01,30.099999999999998
256,1951,9,17.9,10.6,0.0,85.7,89.3,,1951-09-01,28.5
257,1951,10,13.3,5.6,4.0,20.8,104.1,,1951-10-01,18.9
258,1951,11,11.4,5.7,3.0,180.8,66.5,,1951-11-01,17.1
259,1951,12,9.4,3.2,5.0,70.0,64.5,,1951-12-01,12.600000000000001
260,1952,1,6.4,0.3,10.0,50.4,95.8,,1952-01-01,6.7
261,1952,2,7.1,-0.2,11.0,9.8,89.8,,1952-02-01,6.8999999999999995
262,1952,3,10.3,4.2,6.0,47.0,100.7,,1952-03-01,14.5
263,1952,4,14.4,4.8,3.0,51.5,156.0,,1952-04-01,19.2
264,1952,5,17.9,8.8,0.0,94.1,197.0,,1952-05-01,26.7
265,1952,6,19.1,9.9,0.0,40.8,199.2,,1952-06-01,29.0
266,1952,7,21.5,12.6,0.0,27.9,186.3,,1952-07-01,34.1
267,1952,8,20.3,12.2,0.0,122.5,161.8,,1952-08-01,32.5
268,1952,9,15.1,6.9,0.0,46.6,131.3,,1952-09-01,22.0
269,1952,10,12.8,5.9,4.0,91.6,100.9,,1952-10-01,18.700000000000003
270,1952,11,7.2,1.7,8.0,95.5,78.7,,1952-11-01,8.9
271,1952,12,6.6,0.3,13.0,39.1,63.9,,1952-12-01,6.8999999999999995
272,1953,1,6.1,0.2,15.0,15.6,40.2,,1953-01-01,6.3
273,1953,2,7.5,1.4,8.0,34.5,65.3,,1953-02-01,8.9
274,1953,3,9.7,0.8,14.0,24.0,116.1,,1953-03-01,10.5
275,1953,4,11.9,3.4,1.0,76.3,181.7,,1953-04-01,15.3
276,1953,5,17.7,8.4,0.0,51.1,219.0,,1953-05-01,26.1
277,1953,6,18.7,9.9,0.0,42.5,142.3,,1953-06-01,28.6
278,1953,7,19.9,12.0,0.0,55.4,195.5,,1953-07-01,31.9
279,1953,8,20.9,11.8,0.0,71.9,197.7,,1953-08-01,32.7
280,1953,9,17.9,10.0,0.0,78.4,132.3,,1953-09-01,27.9
281,1953,10,13.6,5.2,2.0,65.0,86.3,,1953-10-01,18.8
282,1953,11,11.5,5.7,1.0,38.3,52.3,,1953-11-01,17.2
283,1953,12,9.6,5.0,3.0,30.3,36.2,,1953-12-01,14.6
284,1954,1,5.9,0.2,16.0,43.7,64.4,,1954-01-01,6.1000000000000005
285,1954,2,6.5,0.7,8.0,55.0,70.1,,1954-02-01,7.2
286,1954,3,9.6,3.0,4.0,69.1,104.0,,1954-03-01,12.6
287,1954,4,12.9,3.3,1.0,5.1,207.6,,1954-04-01,16.2
288,1954,5,15.4,7.3,0.0,56.5,135.4,,1954-05-01,22.7
289,1954,6,17.2,10.4,0.0,118.4,146.7,,1954-06-01,27.6
290,1954,7,18.0,11.3,0.0,38.2,116.8,,1954-07-01,29.3
291,1954,8,18.6,10.9,0.0,66.4,137.9,,1954-08-01,29.5
292,1954,9,17.2,9.4,0.0,42.2,164.2,,1954-09-01,26.6
293,1954,10,15.5,9.2,2.0,78.1,80.8,,1954-10-01,24.7
294,1954,11,10.6,4.1,3.0,177.8,50.2,,1954-11-01,14.7
295,1954,12,10.0,4.8,2.0,51.0,57.2,,1954-12-01,14.8
296,1955,1,5.7,-0.1,15.0,82.8,35.2,,1955-01-01,5.6000000000000005
297,1955,2,4.6,-1.1,19.0,36.7,83.1,,1955-02-01,3.4999999999999996
298,1955,3,7.4,-0.5,21.0,54.0,159.3,,1955-03-01,6.9
299,1955,4,14.2,5.6,1.0,22.8,174.0,,1955-04-01,19.799999999999997
300,1955,5,14.2,6.2,0.0,130.0,207.2,,1955-05-01,20.4
301,1955,6,18.2,10.2,0.0,96.7,126.8,,1955-06-01,28.4
302,1955,7,23.3,12.3,0.0,15.0,274.5,,1955-07-01,35.6
303,1955,8,23.6,13.2,0.0,14.0,186.1,,1955-08-01,36.8
304,1955,9,19.3,9.6,0.0,26.9,157.5,,1955-09-01,28.9
305,1955,10,14.0,4.5,6.0,33.2,128.3,,1955-10-01,18.5
306,1955,11,9.9,3.7,9.0,89.0,50.1,,1955-11-01,13.600000000000001
307,1955,12,9.5,3.1,4.0,81.9,35.2,,1955-12-01,12.6
308,1956,1,7.3,1.3,11.0,83.1,59.4,,1956-01-01,8.6
309,1956,2,3.1,-3.4,22.0,9.9,74.2,,1956-02-01,-0.2999999999999998
310,1956,3,11.0,2.2,10.0,17.5,146.3,,1956-03-01,13.2
311,1956,4,12.1,3.1,3.0,69.0,175.0,,1956-04-01,15.2
312,1956,5,17.1,6.7,1.0,13.7,228.4,,1956-05-01,23.8
313,1956,6,18.1,9.8,0.0,45.0,159.3,,1956-06-01,27.900000000000002
314,1956,7,20.5,12.3,0.0,98.9,187.3,,1956-07-01,32.8
315,1956,8,18.0,10.1,0.0,74.5,159.8,,1956-08-01,28.1
316,1956,9,18.0,11.1,0.0,91.4,72.4,,1956-09-01,29.1
317,1956,10,13.4,5.5,1.0,36.5,101.9,,1956-10-01,18.9
318,1956,11,9.2,3.3,7.0,23.3,52.3,,1956-11-01,12.5
319,1956,12,8.5,3.2,9.0,109.7,25.6,,1956-12-01,11.7
320,1957,1,8.5,3.2,5.0,41.6,42.1,,1957-01-01,11.7
321,1957,2,9.0,2.4,8.0,68.4,74.2,,1957-02-01,11.4
322,1957,3,13.8,6.0,2.0,51.3,98.4,,1957-03-01,19.8
323,1957,4,13.5,5.1,0.0,0.0,139.8,,1957-04-01,18.6
324,1957,5,15.4,6.2,0.0,34.5,211.4,,1957-05-01,21.6
325,1957,6,22.0,9.6,0.0,19.6,306.2,,1957-06-01,31.6
326,1957,7,20.9,13.1,0.0,57.5,130.7,,1957-07-01,34.0
327,1957,8,20.4,12.0,0.0,53.9,153.1,,1957-08-01,32.4
328,1957,9,16.7,9.6,0.0,81.2,112.0,,1957-09-01,26.299999999999997
329,1957,10,14.9,7.1,0.0,32.9,70.2,,1957-10-01,22.0
330,1957,11,8.8,3.2,7.0,60.5,64.4,,1957-11-01,12.0
331,1957,12,7.3,1.1,11.0,71.0,52.6,,1957-12-01,8.4
332,1958,1,6.9,0.7,12.0,55.6,62.0,,1958-01-01,7.6000000000000005
333,1958,2,9.2,2.3,7.0,125.6,52.5,,1958-02-01,11.5
334,1958,3,7.5,0.8,14.0,25.9,98.1,,1958-03-01,8.3
335,1958,4,12.1,3.6,6.0,14.1,143.9,,1958-04-01,15.7
336,1958,5,16.3,7.9,0.0,54.7,198.3,,1958-05-01,24.200000000000003
337,1958,6,18.7,10.0,0.0,94.8,140.5,,1958-06-01,28.7
338,1958,7,20.7,12.0,0.0,55.5,176.7,,1958-07-01,32.7
339,1958,8,20.2,12.4,0.0,48.2,121.6,,1958-08-01,32.6
340,1958,9,18.5,11.2,0.0,158.0,95.0,,1958-09-01,29.7
341,1958,10,14.1,8.4,0.0,86.5,95.6,,1958-10-01,22.5
342,1958,11,9.2,3.5,5.0,78.6,38.4,,1958-11-01,12.7
343,1958,12,7.5,2.6,5.0,81.2,34.3,,1958-12-01,10.1
344,1959,1,5.3,-0.5,18.0,122.0,83.5,,1959-01-01,4.8
345,1959,2,7.3,1.5,10.0,3.8,51.3,,1959-02-01,8.8
346,1959,3,10.9,4.4,2.0,73.4,96.3,,1959-03-01,15.3
347,1959,4,13.9,5.8,0.0,75.2,152.2,,1959-04-01,19.7
348,1959,5,18.1,7.8,0.0,35.5,210.5,,1959-05-01,25.900000000000002
349,1959,6,20.2,10.5,0.0,19.0,224.9,,1959-06-01,30.7
350,1959,7,22.5,12.4,0.0,51.5,237.5,,1959-07-01,34.9
351,1959,8,22.4,12.0,0.0,24.7,205.7,,1959-08-01,34.4
352,1959,9,21.2,8.6,1.0,2.0,199.7,,1959-09-01,29.799999999999997
353,1959,10,17.3,7.9,0.0,47.9,131.4,,1959-10-01,25.200000000000003
354,1959,11,10.2,4.2,5.0,127.4,52.8,,1959-11-01,14.399999999999999
355,1959,12,9.1,3.7,2.0,186.0,41.9,,1959-12-01,12.8
