,Year,Month,Tmax,Tmin,AF,Rain,Sun,status,Date,Tmean
387,1973,3,10.2,2.6,4.0,14.3,159.9,,1973-03-01,12.799999999999999
388,1973,4,10.8,4.0,2.0,42.1,133.7,,1973-04-01,14.8
389,1973,5,15.5,8.2,0.0,34.4,208.4,,1973-05-01,23.7
390,1973,6,19.8,11.4,0.0,51.5,287.1,,1973-06-01,31.200000000000003
391,1973,7,20.6,12.8,0.0,28.4,193.5,,1973-07-01,33.400000000000006
392,1973,8,22.1,14.0,0.0,11.1,221.9,,1973-08-01,36.1
393,1973,9,19.6,11.9,0.0,253.0,184.1,,1973-09-01,31.5
394,1973,10,13.7,7.7,0.0,45.0,128.6,,1973-10-01,21.4
395,1973,11,9.7,3.4,8.0,19.7,103.8,,1973-11-01,13.1
396,1973,12,8.1,2.6,7.0,30.4,53.0,,1973-12-01,10.7
397,1974,1,9.2,3.6,2.0,37.8,53.5,,1974-01-01,12.799999999999999
398,1974,2,8.4,2.8,4.0,48.1,61.7,,1974-02-01,11.2
399,1974,3,9.2,3.1,3.0,40.4,116.1,,1974-03-01,12.299999999999999
400,1974,4,12.0,6.0,0.0,10.3,207.9,,1974-04-01,18.0
401,1974,5,15.8,7.4,0.0,16.8,241.9,,1974-05-01,23.200000000000003
402,1974,6,18.0,10.5,0.0,46.6,217.7,,1974-06-01,28.5
403,1974,7,20.0,12.0,0.0,59.3,214.6,,1974-07-01,32.0
404,1974,8,20.8,12.4,0.0,75.3,229.8,,1974-08-01,33.2
405,1974,9,17.0,9.4,0.0,93.5,155.4,,1974-09-01,26.4
406,1974,10,10.7,5.6,0.0,79.6,87.9,,1974-10-01,16.299999999999997
407,1974,11,10.5,4.5,0.0,83.0,48.3,,1974-11-01,15.0
408,1974,12,10.6,5.4,1.0,23.3,50.8,,1974-12-01,16.0
409,1975,1,9.7,4.1,1.0,75.6,38.1,,1975-01-01,13.799999999999999
410,1975,2,8.4,2.8,0.0,17.1,118.1,,1975-02-01,11.2
411,1975,3,7.6,3.0,4.0,94.4,65.3,,1975-03-01,10.6
412,1975,4,11.6,4.2,3.0,54.4,137.9,,1975-04-01,15.8
413,1975,5,13.0,7.0,0.0,48.7,171.3,,1975-05-01,20.0
414,1975,6,18.4,9.4,0.0,18.1,293.7,,1975-06-01,27.799999999999997
415,1975,7,21.6,12.9,0.0,29.2,227.5,,1975-07-01,34.5
416,1975,8,23.8,14.5,0.0,27.6,253.8,,1975-08-01,38.3
417,1975,9,19.0,11.2,0.0,159.4,155.4,,1975-09-01,30.2
418,1975,10,13.6,8.0,0.0,52.3,100.5,,1975-10-01,21.6
419,1975,11,9.3,3.5,4.0,87.5,61.0,,1975-11-01,12.8
420,1975,12,7.0,1.8,10.0,20.6,49.3,,1975-12-01,8.8
421,1976,1,7.9,3.3,6.0,22.3,72.1,,1976-01-01,11.2
422,1976,2,6.7,1.7,7.0,15.9,40.6,,1976-02-01,8.4
423,1976,3,8.0,2.0,5.0,11.1,134.4,,1976-03-01,10.0
424,1976,4,11.2,4.1,1.0,9.4,210.0,,1976-04-01,15.299999999999999
425,1976,5,17.8,8.5,0.0,10.5,236.1,,1976-05-01,26.3
426,1976,6,22.8,12.9,0.0,11.0,308.9,,1976-06-01,35.7
427,1976,7,22.9,14.9,0.0,38.3,302.8,,1976-07-01,37.8
428,1976,8,21.9,14.4,0.0,30.8,292.5,,1976-08-01,36.3
429,1976,9,17.7,11.3,0.0,150.6,149.3,,1976-09-01,29.0
430,1976,10,14.7,9.5,0.0,97.8,74.6,,1976-10-01,24.2
431,1976,11,10.1,4.8,1.0,140.1,46.7,,1976-11-01,14.899999999999999
432,1976,12,5.6,0.5,13.0,68.4,67.5,,1976-12-01,6.1
433,1977,1,5.8,1.4,9.0,57.9,58.4,,1977-01-01,7.199999999999999
434,1977,2,8.6,3.3,2.0,42.5,87.2,,1977-02-01,11.899999999999999
435,1977,3,10.5,4.5,1.0,55.1,124.5,,1977-03-01,15.0
436,1977,4,11.1,3.9,3.0,29.9,174.3,,1977-04-01,15.0
437,1977,5,13.7,7.7,0.0,49.8,229.9,,1977-05-01,21.4
438,1977,6,16.3,9.8,0.0,43.8,134.7,,1977-06-01,26.1
439,1977,7,19.5,12.8,0.0,43.1,196.4,,1977-07-01,32.3
440,1977,8,19.6,12.6,0.0,69.3,180.2,,1977-08-01,32.2
441,1977,9,17.5,10.9,0.0,17.4,145.0,,1977-09-01,28.4
442,1977,10,16.0,9.3,0.0,10.4,143.1,,1977-10-01,25.3
443,1977,11,10.1,4.9,1.0,72.7,86.9,,1977-11-01,15.0
444,1977,12,8.8,4.6,0.0,59.6,58.1,,1977-12-01,13.4
445,1978,1,6.2,0.8,10.0,54.7,45.6,,1978-01-01,7.0
446,1978,2,5.2,1.1,11.0,32.7,43.6,,1978-02-01,6.300000000000001
447,1978,3,10.6,3.1,4.0,22.9,123.4,,1978-03-01,13.7
448,1978,4,9.3,3.8,3.0,68.5,129.9,,1978-04-01,13.100000000000001
449,1978,5,14.0,7.7,0.0,35.8,183.9,,1978-05-01,21.7
450,1978,6,18.3,10.5,0.0,44.9,208.5,,1978-06-01,28.8
451,1978,7,18.9,12.0,0.0,27.7,132.0,,1978-07-01,30.9
452,1978,8,20.0,12.3,0.0,24.4,212.4,,1978-08-01,32.3
453,1978,9,19.0,11.2,0.0,19.0,175.6,,1978-09-01,30.2
454,1978,10,15.6,9.0,0.0,8.4,111.6,,1978-10-01,24.6
455,1978,11,11.8,6.2,1.0,20.3,88.3,,1978-11-01,18.0
456,1978,12,7.7,3.1,6.0,80.8,30.1,,1978-12-01,10.8
457,1979,1,3.0,-2.2,25.0,54.1,65.3,,1979-01-01,0.7999999999999998
458,1979,2,4.0,-0.3,14.0,44.1,46.6,,1979-02-01,3.7
459,1979,3,8.5,2.1,7.0,79.3,125.1,,1979-03-01,10.6
460,1979,4,11.7,4.3,2.0,53.9,130.4,,1979-04-01,16.0
461,1979,5,15.4,6.4,3.0,55.0,248.8,,1979-05-01,21.8
462,1979,6,18.0,10.2,0.0,47.3,177.6,,1979-06-01,28.2
463,1979,7,21.1,13.1,0.0,22.8,203.2,,1979-07-01,34.2
464,1979,8,19.7,12.0,0.0,63.1,182.1,,1979-08-01,31.7
465,1979,9,18.5,10.6,0.0,16.7,199.5,,1979-09-01,29.1
466,1979,10,15.5,9.6,0.0,20.6,105.2,,1979-10-01,25.1
467,1979,11,10.4,3.7,2.0,43.7,78.7,,1979-11-01,14.100000000000001
468,1979,12,8.7,4.0,4.0,71.9,56.0,,1979-12-01,12.7
469,1980,1,5.4,0.4,12.0,44.1,72.1,,1980-01-01,5.800000000000001
470,1980,2,9.1,2.9,3.0,29.2,66.7,,1980-02-01,12.0
471,1980,3,8.2,2.8,3.0,43.9,83.6,,1980-03-01,11.0
472,1980,4,12.0,5.1,0.0,18.6,193.9,,1980-04-01,17.1
473,1980,5,14.2,7.8,0.0,13.7,252.0,,1980-05-01,22.0
474,1980,6,18.7,10.4,0.0,60.0,199.4,,1980-06-01,29.1
475,1980,7,18.8,12.0,0.0,92.7,183.7,,1980-07-01,30.8
476,1980,8,20.9,13.3,0.0,25.8,187.6,,1980-08-01,34.2
477,1980,9,19.7,11.6,0.0,55.7,167.1,,1980-09-01,31.299999999999997
478,1980,10,13.6,6.6,0.0,73.4,136.9,,1980-10-01,20.2
479,1980,11,8.9,4.5,2.0,35.4,59.2,,1980-11-01,13.4
480,1980,12,7.9,2.6,7.0,23.9,56.8,,1980-12-01,10.5
481,1981,1,7.4,1.9,9.0,32.7,68.6,,1981-01-01,9.3
482,1981,2,6.1,0.2,13.0,18.7,76.9,,1981-02-01,6.3
483,1981,3,11.0,5.8,1.0,72.8,52.4,,1981-03-01,16.8
484,1981,4,10.6,5.1,1.0,35.5,140.5,,1981-04-01,15.7
485,1981,5,15.5,7.9,0.0,52.8,174.4,,1981-05-01,23.4
486,1981,6,17.1,10.4,0.0,87.5,166.4,,1981-06-01,27.5
487,1981,7,19.8,12.7,0.0,22.3,173.4,,1981-07-01,32.5
488,1981,8,21.1,13.1,0.0,17.0,227.9,,1981-08-01,34.2
489,1981,9,19.3,11.6,0.0,63.7,182.0,,1981-09-01,30.9
490,1981,10,12.6,6.5,0.0,81.0,116.1,,1981-10-01,19.1
491,1981,11,10.9,5.2,0.0,38.6,61.7,,1981-11-01,16.1
492,1981,12,4.4,0.1,16.0,75.0,42.3,,1981-12-01,4.5
493,1982,1,6.7,1.4,11.0,33.0,71.9,,1982-01-01,8.1
494,1982,2,7.0,2.1,7.0,18.7,77.3,,1982-02-01,9.1
495,1982,3,9.6,2.5,4.0,28.1,158.5,,1982-03-01,12.1
496,1982,4,11.7,4.9,2.0,4.6,196.0,,1982-04-01,16.6
497,1982,5,16.8,8.1,0.0,38.1,267.2,,1982-05-01,24.9
498,1982,6,19.9,12.5,0.0,47.9,202.5,,1982-06-01,32.4
499,1982,7,20.9,13.9,0.0,29.0,197.4,,1982-07-01,34.8
500,1982,8,21.6,13.4,0.0,32.6,214.7,,1982-08-01,35.0
501,1982,9,20.2,12.1,0.0,29.2,174.0,,1982-09-01,32.3
502,1982,10,13.8,8.3,0.0,158.9,74.2,,1982-10-01,22.1
503,1982,11,11.4,6.1,1.0,71.4,64.7,,1982-11-01,17.5
504,1982,12,7.7,2.2,5.0,47.7,60.5,,1982-12-01,9.9
505,1983,1,9.2,3.9,2.0,31.2,59.1,,1983-01-01,13.1
506,1983,2,4.4,0.1,16.0,78.2,86.9,,1983-02-01,4.5
507,1983,3,9.8,3.1,0.0,28.4,108.2,,1983-03-01,12.9
508,1983,4,11.6,4.0,2.0,92.6,163.9,,1983-04-01,15.6
509,1983,5,14.2,7.0,0.0,63.7,177.0,,1983-05-01,21.2
510,1983,6,18.1,11.5,0.0,44.8,204.3,,1983-06-01,29.6
511,1983,7,23.2,14.8,0.0,21.4,268.9,,1983-07-01,38.0
512,1983,8,21.6,14.8,0.0,14.7,214.3,,1983-08-01,36.400000000000006
513,1983,9,18.4,11.2,0.0,25.4,120.8,,1983-09-01,29.599999999999998
514,1983,10,15.1,8.0,0.0,33.0,134.6,,1983-10-01,23.1
515,1983,11,11.0,5.7,3.0,19.8,57.0,,1983-11-01,16.7
516,1983,12,8.4,3.1,7.0,51.9,71.1,,1983-12-01,11.5
517,1984,1,7.4,1.3,6.0,76.4,89.1,,1984-01-01,8.700000000000001
518,1984,2,6.4,1.7,7.0,24.8,84.9,,1984-02-01,8.1
519,1984,3,7.6,2.4,3.0,53.4,77.0,,1984-03-01,10.0
520,1984,4,11.6,4.0,2.0,26.5,235.5,,1984-04-01,15.6
521,1984,5,12.2,7.1,0.0,61.6,125.0,,1984-05-01,19.299999999999997
522,1984,6,18.7,10.2,0.0,34.8,236.9,,1984-06-01,28.9
523,1984,7,21.5,12.9,0.0,10.6,201.5,,1984-07-01,34.4
524,1984,8,22.3,13.8,0.0,31.7,218.6,,1984-08-01,36.1
525,1984,9,17.7,11.0,0.0,61.8,106.9,,1984-09-01,28.7
526,1984,10,15.2,8.3,0.0,65.1,117.4,,1984-10-01,23.5
527,1984,11,12.4,6.9,0.0,64.6,77.0,,1984-11-01,19.3
528,1984,12,8.7,2.9,7.0,52.8,64.4,,1984-12-01,11.6
529,1985,1,3.5,-2.4,21.0,58.3,50.7,,1985-01-01,1.1
530,1985,2,4.8,-0.5,12.0,12.8,98.1,,1985-02-01,4.3
531,1985,3,8.1,1.3,8.0,56.2,111.1,,1985-03-01,9.4
532,1985,4,12.5,5.2,0.0,25.3,138.8,,1985-04-01,17.7
533,1985,5,14.4,7.7,0.0,53.2,167.0,,1985-05-01,22.1
534,1985,6,17.0,9.9,0.0,72.2,171.8,,1985-06-01,26.9
535,1985,7,21.3,13.2,0.0,40.6,259.6,,1985-07-01,34.5
536,1985,8,19.6,11.5,0.0,45.5,208.3,,1985-08-01,31.1
537,1985,9,20.1,11.2,0.0,6.6,174.0,,1985-09-01,31.3
538,1985,10,15.3,9.4,0.0,15.8,131.5,,1985-10-01,24.700000000000003
539,1985,11,7.6,1.8,8.0,56.1,89.9,,1985-11-01,9.4
540,1985,12,9.4,4.9,4.0,85.6,39.0,,1985-12-01,14.3
541,1986,1,6.7,1.0,11.0,70.6,75.9,,1986-01-01,7.7
542,1986,2,1.1,-2.8,23.0,25.1,46.7,,1986-02-01,-1.6999999999999997
543,1986,3,8.6,1.3,9.0,39.4,137.0,,1986-03-01,9.9
544,1986,4,9.7,2.9,4.0,52.8,156.3,,1986-04-01,12.6
545,1986,5,16.0,7.3,0.0,34.5,248.5,,1986-05-01,23.3
546,1986,6,18.8,11.2,0.0,20.6,249.1,,1986-06-01,30.0
547,1986,7,21.3,13.3,0.0,40.2,211.9,,1986-07-01,34.6
548,1986,8,19.2,11.3,0.0,44.9,185.2,,1986-08-01,30.5
549,1986,9,16.4,9.5,0.0,59.4,159.5,,1986-09-01,25.9
550,1986,10,15.5,9.0,0.0,67.6,123.6,,1986-10-01,24.5
551,1986,11,11.5,4.8,2.0,68.2,81.1,,1986-11-01,16.3
552,1986,12,9.0,2.9,1.0,52.1,83.5,,1986-12-01,11.9
553,1987,1,2.5,-1.3,18.0,11.3,39.9,,1987-01-01,1.2
554,1987,2,6.6,0.9,11.0,24.4,75.7,,1987-02-01,7.5
555,1987,3,6.8,0.7,16.0,36.8,103.9,,1987-03-01,7.5
556,1987,4,14.4,6.0,0.0,21.5,181.0,,1987-04-01,20.4
557,1987,5,13.9,7.2,0.0,37.1,193.3,,1987-05-01,21.1
558,1987,6,17.2,10.2,0.0,99.8,145.2,,1987-06-01,27.4
559,1987,7,20.3,13.3,0.0,109.2,192.0,,1987-07-01,33.6
560,1987,8,20.8,12.8,0.0,90.8,187.6,,1987-08-01,33.6
561,1987,9,19.0,12.0,0.0,15.1,159.3,,1987-09-01,31.0
562,1987,10,14.7,8.5,0.0,132.5,115.0,,1987-10-01,23.2
563,1987,11,9.9,5.7,1.0,61.8,61.2,,1987-11-01,15.600000000000001
564,1987,12,8.3,3.9,4.0,31.4,39.5,,1987-12-01,12.200000000000001
565,1988,1,8.8,3.1,5.0,114.4,70.9,,1988-01-01,11.9
566,1988,2,7.7,2.2,2.0,35.2,129.8,,1988-02-01,9.9
567,1988,3,9.4,3.7,2.0,81.3,110.1,,1988-03-01,13.100000000000001
568,1988,4,11.8,5.6,1.0,45.5,175.3,,1988-04-01,17.4
569,1988,5,15.5,9.0,0.0,31.8,221.5,,1988-05-01,24.5
570,1988,6,17.1,10.8,0.0,11.7,158.4,,1988-06-01,27.900000000000002
571,1988,7,20.0,12.0,0.0,38.9,206.3,,1988-07-01,32.0
572,1988,8,21.1,12.5,0.0,21.1,223.3,,1988-08-01,33.6
573,1988,9,18.0,11.2,0.0,27.1,137.8,,1988-09-01,29.2
574,1988,10,15.1,9.4,0.0,81.0,112.9,,1988-10-01,24.5
575,1988,11,9.6,3.8,2.0,56.4,95.4,,1988-11-01,13.399999999999999
576,1988,12,9.4,4.7,1.0,17.4,44.3,,1988-12-01,14.100000000000001
577,1989,1,8.7,3.1,3.0,23.8,83.1,,1989-01-01,11.799999999999999
578,1989,2,9.4,3.0,1.0,25.0,103.0,,1989-02-01,12.4
579,1989,3,11.9,4.7,2.0,42.6,110.3,,1989-03-01,16.6
580,1989,4,10.3,4.8,0.0,77.4,127.5,,1989-04-01,15.100000000000001
581,1989,5,17.7,9.1,0.0,0.4,326.3,,1989-05-01,26.799999999999997
582,1989,6,19.1,10.9,0.0,47.7,276.8,,1989-06-01,30.0
583,1989,7,22.8,14.7,0.0,37.8,263.1,,1989-07-01,37.5
584,1989,8,22.9,13.8,0.0,20.4,239.2,,1989-08-01,36.7
585,1989,9,19.8,13.2,0.0,23.7,140.4,,1989-09-01,33.0
586,1989,10,16.4,10.4,0.0,56.1,125.6,,1989-10-01,26.799999999999997
587,1989,11,10.5,4.2,4.0,30.4,124.3,,1989-11-01,14.7
588,1989,12,9.3,4.2,5.0,65.2,22.0,,1989-12-01,13.5
589,1990,1,9.3,3.9,2.0,46.8,53.1,,1990-01-01,13.200000000000001
590,1990,2,11.0,4.8,1.0,63.6,109.9,,1990-02-01,15.8
591,1990,3,12.4,4.9,1.0,5.7,175.6,,1990-03-01,17.3
592,1990,4,12.5,4.8,2.0,40.9,246.3,,1990-04-01,17.3
593,1990,5,17.6,9.0,0.0,19.1,317.3,,1990-05-01,26.6
594,1990,6,18.4,10.1,0.0,56.1,192.3,,1990-06-01,28.5
595,1990,7,21.9,12.5,0.0,6.5,299.2,,1990-07-01,34.4
596,1990,8,24.3,14.4,0.0,26.0,289.0,,1990-08-01,38.7
597,1990,9,18.3,10.5,0.0,39.9,158.3,,1990-09-01,28.8
598,1990,10,15.8,9.6,0.0,68.4,130.1,,1990-10-01,25.4
599,1990,11,10.2,5.4,3.0,87.7,68.1,,1990-11-01,15.6
